Geographic Area,City,,poverty_rate,percent_completed_hs,Median Income,,,,,,,,
AL,Gordo town,Gordo townAL,26.3,80.4,30781,,,,,AL,Gordo town,Gordo townAL,30781
AL,Gordon town,Gordon townAL,26.9,66.8,22250,,,,,AL,Gordon town,Gordon townAL,22250
AL,Gordonville town,Gordonville townAL,39.2,76.1,18224,,,,,AL,Gordonville town,Gordonville townAL,18224
AL,Goshen town,Goshen townAL,31.9,71.2,40132,,,,,AL,Goshen town,Goshen townAL,40132
AL,Graham CDP,Graham CDPAL,4.5,74,41914,,,,,AL,Graham CDP,Graham CDPAL,41914
AL,Grand Bay CDP,Grand Bay CDPAL,6.4,84.6,48767,,,,,AL,Grand Bay CDP,Grand Bay CDPAL,48767
AL,Grant town,Grant townAL,7.2,89.2,55000,,,,,AL,Grant town,Grant townAL,55000
AL,Grayson Valley CDP,Grayson Valley CDPAL,8.9,90.4,46250,,,,,AL,Grayson Valley CDP,Grayson Valley CDPAL,46250
AL,Graysville city,Graysville cityAL,17.4,79.8,41282,,,,,AL,Graysville city,Graysville cityAL,41282
AL,Greensboro city,Greensboro cityAL,39.3,75,21797,,,,,AL,Greensboro city,Greensboro cityAL,21797
AL,Greenville city,Greenville cityAL,25.8,78.4,29741,,,,,AL,Greenville city,Greenville cityAL,29741
AL,Grimes town,Grimes townAL,19.1,84.5,31579,,,,,AL,Grimes town,Grimes townAL,31579
AL,Grove Hill town,Grove Hill townAL,26.1,85.8,31786,,,,,AL,Grove Hill town,Grove Hill townAL,31786
AL,Guin city,Guin cityAL,37.5,75.4,23000,,,,,AL,Guin city,Guin cityAL,23000
AL,Gulfcrest CDP,Gulfcrest CDPAL,0,87.2,68462,,,,,AL,Gulfcrest CDP,Gulfcrest CDPAL,68462
AL,Gulf Shores city,Gulf Shores cityAL,16.6,92.9,47662,,,,,AL,Gulf Shores city,Gulf Shores cityAL,47662
AL,Guntersville city,Guntersville cityAL,16.2,83.1,39756,,,,,AL,Guntersville city,Guntersville cityAL,39756
AL,Gurley town,Gurley townAL,30.8,74.5,32500,,,,,AL,Gurley town,Gurley townAL,32500
AL,Gu-Win town,Gu-Win townAL,12,87.2,39000,,,,,AL,Gu-Win town,Gu-Win townAL,39000
AL,Hackleburg town,Hackleburg townAL,25.7,76.5,28819,,,,,AL,Hackleburg town,Hackleburg townAL,28819
AL,Hackneyville CDP,Hackneyville CDPAL,17.8,95.1,60474,,,,,AL,Hackneyville CDP,Hackneyville CDPAL,60474
AL,Haleburg town,Haleburg townAL,8.3,80,54167,,,,,AL,Haleburg town,Haleburg townAL,54167
AL,Haleyville city,Haleyville cityAL,26.8,70.7,24291,,,,,AL,Haleyville city,Haleyville cityAL,24291
AL,Hamilton city,Hamilton cityAL,18.5,82.7,33053,,,,,AL,Hamilton city,Hamilton cityAL,33053
AL,Hammondville town,Hammondville townAL,8,74.5,43281,,,,,AL,Hammondville town,Hammondville townAL,43281
AL,Hanceville city,Hanceville cityAL,25.8,77.7,29231,,,,,AL,Hanceville city,Hanceville cityAL,29231
AL,Harpersville town,Harpersville townAL,18.8,80.7,35972,,,,,AL,Harpersville town,Harpersville townAL,35972
AL,Hartford city,Hartford cityAL,36.7,70.6,22094,,,,,AL,Hartford city,Hartford cityAL,22094
AL,Hartselle city,Hartselle cityAL,6.9,91.9,53878,,,,,AL,Hartselle city,Hartselle cityAL,53878
AL,Harvest CDP,Harvest CDPAL,5.5,90.6,63708,,,,,AL,Harvest CDP,Harvest CDPAL,63708
AL,Hatton CDP,Hatton CDPAL,0,83.2,(X),,,,,AL,Hatton CDP,Hatton CDPAL,(X)
