Geographic Area,City,,poverty_rate,percent_completed_hs,Median Income,,,,,,,,
TN,Powells Crossroads town,Powells Crossroads townTN,6.4,86.3,58750,,,,,TN,Ridgely town,Ridgely townTN,28534
TN,Pulaski city,Pulaski cityTN,26.7,77.8,30574,,,,,TN,Ridgeside city,Ridgeside cityTN,102500
TN,Puryear city,Puryear cityTN,16.6,82.8,38125,,,,,TN,Ridgetop city,Ridgetop cityTN,63486
TN,Ramer city,Ramer cityTN,14,84.8,27917,,,,,TN,Ripley city,Ripley cityTN,22808
TN,Red Bank city,Red Bank cityTN,23.2,90,36841,,,,,TN,Rives town,Rives townTN,37188
TN,Red Boiling Springs city,Red Boiling Springs cityTN,46.1,61.9,20694,,,,,TN,Roan Mountain CDP,Roan Mountain CDPTN,31676
TN,Riceville CDP,Riceville CDPTN,4.2,88.7,36827,,,,,TN,Robbins CDP,Robbins CDPTN,35700
TN,Ridgely town,Ridgely townTN,31.5,66.1,28534,,,,,TN,Rockford city,Rockford cityTN,61295
TN,Ridgeside city,Ridgeside cityTN,4.1,97.6,102500,,,,,TN,Rockvale CDP,Rockvale CDPTN,74375
TN,Ridgetop city,Ridgetop cityTN,2.4,88.8,63486,,,,,TN,Rockwood city,Rockwood cityTN,27539
TN,Ripley city,Ripley cityTN,39.2,77.5,22808,,,,,TN,Rogersville town,Rogersville townTN,25095
TN,Rives town,Rives townTN,13.8,82.4,37188,,,,,TN,Rossville town,Rossville townTN,70673
TN,Roan Mountain CDP,Roan Mountain CDPTN,31,71.9,31676,,,,,TN,Rural Hill CDP,Rural Hill CDPTN,76140
TN,Robbins CDP,Robbins CDPTN,30.6,83.3,35700,,,,,TN,Rutherford town,Rutherford townTN,31917
TN,Rockford city,Rockford cityTN,2.7,88.3,61295,,,,,TN,Rutledge town,Rutledge townTN,21500
TN,Rockvale CDP,Rockvale CDPTN,0,100,74375,,,,,TN,St. Joseph city,St. Joseph cityTN,39808
TN,Rockwood city,Rockwood cityTN,30.7,75.1,27539,,,,,TN,Sale Creek CDP,Sale Creek CDPTN,49750
TN,Rogersville town,Rogersville townTN,26.6,80.8,25095,,,,,TN,Saltillo town,Saltillo townTN,27500
TN,Rossville town,Rossville townTN,8.2,92.1,70673,,,,,TN,Samburg town,Samburg townTN,17276
TN,Rural Hill CDP,Rural Hill CDPTN,3.2,98.8,76140,,,,,TN,Sardis town,Sardis townTN,27102
TN,Rutherford town,Rutherford townTN,24.4,80.5,31917,,,,,TN,Saulsbury town,Saulsbury townTN,11750
TN,Rutledge town,Rutledge townTN,32.1,76.9,21500,,,,,TN,Savannah city,Savannah cityTN,26502
TN,St. Joseph city,St. Joseph cityTN,14.7,75,39808,,,,,TN,Scotts Hill town,Scotts Hill townTN,25125
TN,Sale Creek CDP,Sale Creek CDPTN,15.3,89.1,49750,,,,,TN,Selmer town,Selmer townTN,29167
TN,Saltillo town,Saltillo townTN,16.4,70.5,27500,,,,,TN,Sevierville city,Sevierville cityTN,34833
TN,Samburg town,Samburg townTN,19.4,48.2,17276,,,,,TN,Sewanee CDP,Sewanee CDPTN,73750
TN,Sardis town,Sardis townTN,20.9,83.3,27102,,,,,TN,Seymour CDP,Seymour CDPTN,53772
TN,Saulsbury town,Saulsbury townTN,62.3,75.5,11750,,,,,TN,Shackle Island CDP,Shackle Island CDPTN,115087
TN,Savannah city,Savannah cityTN,30.7,78.1,26502,,,,,TN,Sharon town,Sharon townTN,31719
TN,Scotts Hill town,Scotts Hill townTN,32.4,87,25125,,,,,TN,Shelbyville city,Shelbyville cityTN,30744
TN,Selmer town,Selmer townTN,22.4,81.5,29167,,,,,TN,Signal Mountain town,Signal Mountain townTN,94000
TN,Sevierville city,Sevierville cityTN,25.3,82.9,34833,,,,,TN,Silerton town,Silerton townTN,42500
TN,Sewanee CDP,Sewanee CDPTN,11.8,97.9,73750,,,,,TN,Slayden town,Slayden townTN,32500
TN,Seymour CDP,Seymour CDPTN,7.5,88.7,53772,,,,,TN,Smithville city,Smithville cityTN,31424
TN,Shackle Island CDP,Shackle Island CDPTN,1.8,99.1,115087,,,,,TN,Smyrna town,Smyrna townTN,53764
TN,Sharon town,Sharon townTN,17.6,84.2,31719,,,,,TN,Sneedville town,Sneedville townTN,14009
TN,Shelbyville city,Shelbyville cityTN,26.9,73.3,30744,,,,,TN,Soddy-Daisy city,Soddy-Daisy cityTN,42861
TN,Signal Mountain town,Signal Mountain townTN,1.2,96,94000,,,,,TN,Somerville town,Somerville townTN,29667
TN,Silerton town,Silerton townTN,8.3,87.5,42500,,,,,TN,South Carthage town,South Carthage townTN,39891
TN,Slayden town,Slayden townTN,23,61.7,32500,,,,,TN,South Cleveland CDP,South Cleveland CDPTN,45106
TN,Smithville city,Smithville cityTN,36.1,75.8,31424,,,,,TN,South Fulton city,South Fulton cityTN,31942
TN,Smyrna town,Smyrna townTN,13.8,88.7,53764,,,,,TN,South Pittsburg city,South Pittsburg cityTN,32725
TN,Sneedville town,Sneedville townTN,58.5,71.6,14009,,,,,TN,Sparta city,Sparta cityTN,27320
TN,Soddy-Daisy city,Soddy-Daisy cityTN,10.7,84.2,42861,,,,,TN,Spencer town,Spencer townTN,30688
TN,Somerville town,Somerville townTN,33.3,79.8,29667,,,,,TN,Spring City town,Spring City townTN,25685
TN,South Carthage town,South Carthage townTN,17.1,79.9,39891,,,,,TN,Springfield city,Springfield cityTN,41234
TN,South Cleveland CDP,South Cleveland CDPTN,15.4,81.3,45106,,,,,TN,Spring Hill city,Spring Hill cityTN,78588
TN,South Fulton city,South Fulton cityTN,26.7,83.6,31942,,,,,TN,Spurgeon CDP,Spurgeon CDPTN,45647
TN,South Pittsburg city,South Pittsburg cityTN,30,82.7,32725,,,,,TN,Stanton town,Stanton townTN,16917
TN,Sparta city,Sparta cityTN,24.3,79.2,27320,,,,,TN,Stantonville town,Stantonville townTN,30313
TN,Spencer town,Spencer townTN,22.5,77.6,30688,,,,,TN,Summertown CDP,Summertown CDPTN,38720
TN,Spring City town,Spring City townTN,31.7,76.8,25685,,,,,TN,Sunbright city,Sunbright cityTN,38000
TN,Springfield city,Springfield cityTN,19.5,79.7,41234,,,,,TN,Surgoinsville town,Surgoinsville townTN,51357
TN,Spring Hill city,Spring Hill cityTN,3.6,97.4,78588,,,,,TN,Sweetwater city,Sweetwater cityTN,34276
TN,Spurgeon CDP,Spurgeon CDPTN,20.3,91.5,45647,,,,,TN,Tazewell town,Tazewell townTN,26786
TN,Stanton town,Stanton townTN,42.2,79.1,16917,,,,,TN,Telford CDP,Telford CDPTN,40580
TN,Stantonville town,Stantonville townTN,27.8,76.3,30313,,,,,TN,Tellico Plains town,Tellico Plains townTN,25469
TN,Summertown CDP,Summertown CDPTN,14.1,78.9,38720,,,,,TN,Tellico Village CDP,Tellico Village CDPTN,68771
TN,Sunbright city,Sunbright cityTN,25.2,90.6,38000,,,,,TN,Tennessee Ridge town,Tennessee Ridge townTN,39811
TN,Surgoinsville town,Surgoinsville townTN,10.9,82.9,51357,,,,,TN,Thompson's Station town,Thompson's Station townTN,95096
TN,Sweetwater city,Sweetwater cityTN,20.7,78.5,34276,,,,,TN,Three Way city,Three Way cityTN,71765
TN,Tazewell town,Tazewell townTN,29.3,74.6,26786,,,,,TN,Tiptonville town,Tiptonville townTN,27690
TN,Telford CDP,Telford CDPTN,2.6,76.4,40580,,,,,TN,Toone town,Toone townTN,31719
TN,Tellico Plains town,Tellico Plains townTN,36.2,69.1,25469,,,,,TN,Townsend city,Townsend cityTN,42000
TN,Tellico Village CDP,Tellico Village CDPTN,3.3,100,68771,,,,,TN,Tracy City town,Tracy City townTN,23750
TN,Tennessee Ridge town,Tennessee Ridge townTN,16,78.3,39811,,,,,TN,Trenton city,Trenton cityTN,25729
TN,Thompson's Station town,Thompson's Station townTN,3.3,96.9,95096,,,,,TN,Trezevant town,Trezevant townTN,30750
TN,Three Way city,Three Way cityTN,5.6,93.3,71765,,,,,TN,Trimble town,Trimble townTN,36250
TN,Tiptonville town,Tiptonville townTN,33.1,70.2,27690,,,,,TN,Troy town,Troy townTN,35645
TN,Toone town,Toone townTN,32.1,84.6,31719,,,,,TN,Tullahoma city,Tullahoma cityTN,35798
TN,Townsend city,Townsend cityTN,16.2,94.4,42000,,,,,TN,Tusculum city,Tusculum cityTN,48092
TN,Tracy City town,Tracy City townTN,32.9,68.5,23750,,,,,TN,Unicoi town,Unicoi townTN,38678
TN,Trenton city,Trenton cityTN,36.3,72.7,25729,,,,,TN,Union City city,Union City cityTN,35698
TN,Trezevant town,Trezevant townTN,26.4,76.8,30750,,,,,TN,Unionville CDP,Unionville CDPTN,34250
TN,Trimble town,Trimble townTN,17.9,82.2,36250,,,,,TN,Vanleer town,Vanleer townTN,35000
TN,Troy town,Troy townTN,18.1,80.9,35645,,,,,TN,Viola town,Viola townTN,22250
TN,Tullahoma city,Tullahoma cityTN,19.5,87.3,35798,,,,,TN,Vonore town,Vonore townTN,38542
TN,Tusculum city,Tusculum cityTN,12.5,82.6,48092,,,,,TN,Walden town,Walden townTN,83333
TN,Unicoi town,Unicoi townTN,18.8,85.6,38678,,,,,TN,Walland CDP,Walland CDPTN,47500
TN,Union City city,Union City cityTN,28.1,82.3,35698,,,,,TN,Walnut Grove CDP (Hardin County),Walnut Grove CDP (Hardin County)TN,(X)
TN,Unionville CDP,Unionville CDPTN,13,72.2,34250,,,,,TN,Walnut Grove CDP (Sumner County),Walnut Grove CDP (Sumner County)TN,43036
TN,Vanleer town,Vanleer townTN,22.8,63.6,35000,,,,,TN,Walnut Hill CDP,Walnut Hill CDPTN,36923
TN,Viola town,Viola townTN,41.1,78,22250,,,,,TN,Walterhill CDP,Walterhill CDPTN,72969
TN,Vonore town,Vonore townTN,14.9,83.2,38542,,,,,TN,Wartburg city,Wartburg cityTN,25417
TN,Walden town,Walden townTN,7.4,94.2,83333,,,,,TN,Wartrace town,Wartrace townTN,38750
TN,Walland CDP,Walland CDPTN,7.5,93.4,47500,,,,,TN,Watauga city,Watauga cityTN,43125
TN,Walnut Grove CDP (Hardin County),Walnut Grove CDP (Hardin County)TN,32.4,51.4,(X),,,,,TN,Watertown city,Watertown cityTN,35987
TN,Walnut Grove CDP (Sumner County),Walnut Grove CDP (Sumner County)TN,20,87.8,43036,,,,,TN,Waverly city,Waverly cityTN,42674
TN,Walnut Hill CDP,Walnut Hill CDPTN,15.7,80.9,36923,,,,,TN,Waynesboro city,Waynesboro cityTN,24000
TN,Walterhill CDP,Walterhill CDPTN,0,80.2,72969,,,,,TN,Westmoreland town,Westmoreland townTN,37813
TN,Wartburg city,Wartburg cityTN,31.2,73.9,25417,,,,,TN,White Bluff town,White Bluff townTN,44758
TN,Wartrace town,Wartrace townTN,21.1,84.3,38750,,,,,TN,White House city,White House cityTN,67763
TN,Watauga city,Watauga cityTN,18.9,80.2,43125,,,,,TN,White Pine town,White Pine townTN,31285
TN,Watertown city,Watertown cityTN,14.5,84.5,35987,,,,,TN,Whiteville town,Whiteville townTN,21667
TN,Waverly city,Waverly cityTN,12.3,91.1,42674,,,,,TN,Whitwell city,Whitwell cityTN,24583
TN,Waynesboro city,Waynesboro cityTN,24.8,82.3,24000,,,,,TN,Wildwood CDP,Wildwood CDPTN,56250
TN,Westmoreland town,Westmoreland townTN,18.3,80.6,37813,,,,,TN,Wildwood Lake CDP,Wildwood Lake CDPTN,31310
TN,White Bluff town,White Bluff townTN,18,83.7,44758,,,,,TN,Williston city,Williston cityTN,47708
TN,White House city,White House cityTN,4.3,93.3,67763,,,,,TN,Winchester city,Winchester cityTN,39500
TN,White Pine town,White Pine townTN,20.1,72.7,31285,,,,,TN,Winfield town,Winfield townTN,23466
TN,Whiteville town,Whiteville townTN,45.4,66,21667,,,,,TN,Woodbury town,Woodbury townTN,27061
TN,Whitwell city,Whitwell cityTN,30.8,64.9,24583,,,,,TN,Woodland Mills city,Woodland Mills cityTN,49688
TN,Wildwood CDP,Wildwood CDPTN,10.3,90.9,56250,,,,,TN,Wrigley CDP,Wrigley CDPTN,(X)
TN,Wildwood Lake CDP,Wildwood Lake CDPTN,19.6,69.2,31310,,,,,TN,Yorkville city,Yorkville cityTN,54063
TN,Williston city,Williston cityTN,18.9,84,47708,,,,,TX,Abbott city,Abbott cityTX,65000
TN,Winchester city,Winchester cityTN,19.9,82.2,39500,,,,,TX,Abernathy city,Abernathy cityTX,45000
TN,Winfield town,Winfield townTN,33.2,69.9,23466,,,,,TX,Abilene city,Abilene cityTX,43189
TN,Woodbury town,Woodbury townTN,34.5,78.6,27061,,,,,TX,Abram CDP,Abram CDPTX,22379
TN,Woodland Mills city,Woodland Mills cityTN,8.6,92.8,49688,,,,,TX,Ackerly city,Ackerly cityTX,26500
TN,Wrigley CDP,Wrigley CDPTN,26.4,63.5,(X),,,,,TX,Addison town,Addison townTX,67695
TN,Yorkville city,Yorkville cityTN,15.2,89.6,54063,,,,,TX,Adrian city,Adrian cityTX,42500
TX,Abbott city,Abbott cityTX,9.7,92.4,65000,,,,,TX,Agua Dulce CDP,Agua Dulce CDPTX,27614
TX,Abernathy city,Abernathy cityTX,17.7,74.3,45000,,,,,TX,Agua Dulce city,Agua Dulce cityTX,43958
TX,Abilene city,Abilene cityTX,19.1,83.5,43189,,,,,TX,Aguilares CDP,Aguilares CDPTX,-
TX,Abram CDP,Abram CDPTX,44.7,35,22379,,,,,TX,Airport Heights CDP,Airport Heights CDPTX,39000
TX,Ackerly city,Ackerly cityTX,20.9,38.3,26500,,,,,TX,Airport Road Addition CDP,Airport Road Addition CDPTX,77667
TX,Addison town,Addison townTX,10,94,67695,,,,,TX,Alamo city,Alamo cityTX,36079
TX,Adrian city,Adrian cityTX,18,74.3,42500,,,,,TX,Alamo Heights city,Alamo Heights cityTX,121086
TX,Agua Dulce CDP,Agua Dulce CDPTX,55.1,49.6,27614,,,,,TX,Alba town,Alba townTX,31477
TX,Agua Dulce city,Agua Dulce cityTX,19.7,78.1,43958,,,,,TX,Albany city,Albany cityTX,50735
TX,Aguilares CDP,Aguilares CDPTX,0,59.3,-,,,,,TX,Aldine CDP,Aldine CDPTX,33241
TX,Airport Heights CDP,Airport Heights CDPTX,33.3,52.8,39000,,,,,TX,Aledo city,Aledo cityTX,89934
TX,Airport Road Addition CDP,Airport Road Addition CDPTX,37.8,100,77667,,,,,TX,Alfred CDP,Alfred CDPTX,-
TX,Alamo city,Alamo cityTX,30.5,62.8,36079,,,,,TX,Alice city,Alice cityTX,40835
TX,Alamo Heights city,Alamo Heights cityTX,5.3,97.9,121086,,,,,TX,Alice Acres CDP,Alice Acres CDPTX,(X)
TX,Alba town,Alba townTX,43.4,83.2,31477,,,,,TX,Allen city,Allen cityTX,103051
TX,Albany city,Albany cityTX,18.3,88,50735,,,,,TX,Alma town,Alma townTX,51776
TX,Aldine CDP,Aldine CDPTX,38.9,46.9,33241,,,,,TX,Alpine city,Alpine cityTX,35941
TX,Aledo city,Aledo cityTX,3.9,93.6,89934,,,,,TX,Alto town,Alto townTX,17670
TX,Alfred CDP,Alfred CDPTX,69.4,0,-,,,,,TX,Alto Bonito Heights CDP,Alto Bonito Heights CDPTX,17656
TX,Alice city,Alice cityTX,25.1,73.7,40835,,,,,TX,Alton city,Alton cityTX,27726
TX,Alice Acres CDP,Alice Acres CDPTX,52.4,51.1,(X),,,,,TX,Alvarado city,Alvarado cityTX,41466
TX,Allen city,Allen cityTX,5.5,95.6,103051,,,,,TX,Alvin city,Alvin cityTX,46261
TX,Alma town,Alma townTX,5.8,62.3,51776,,,,,TX,Alvord town,Alvord townTX,51042
TX,Alpine city,Alpine cityTX,13.7,86.4,35941,,,,,TX,Amada Acres CDP,Amada Acres CDPTX,-
TX,Alto town,Alto townTX,45.6,83.1,17670,,,,,TX,Amargosa CDP,Amargosa CDPTX,-
TX,Alto Bonito Heights CDP,Alto Bonito Heights CDPTX,31.9,0,17656,,,,,TX,Amarillo city,Amarillo cityTX,47735
TX,Alton city,Alton cityTX,42.7,54.8,27726,,,,,TX,Amaya CDP,Amaya CDPTX,32955
TX,Alvarado city,Alvarado cityTX,16.2,75.6,41466,,,,,TX,Ames city,Ames cityTX,33000
TX,Alvin city,Alvin cityTX,16.6,83,46261,,,,,TX,Amherst city,Amherst cityTX,44904
TX,Alvord town,Alvord townTX,13.2,90.6,51042,,,,,TX,Amistad CDP,Amistad CDPTX,(X)
TX,Amada Acres CDP,Amada Acres CDPTX,-,-,-,,,,,TX,Anacua CDP,Anacua CDPTX,-
TX,Amargosa CDP,Amargosa CDPTX,0,53.3,-,,,,,TX,Anahuac city,Anahuac cityTX,44940
TX,Amarillo city,Amarillo cityTX,17,83.4,47735,,,,,TX,Anderson city,Anderson cityTX,44219
TX,Amaya CDP,Amaya CDPTX,20,76.2,32955,,,,,TX,Andrews city,Andrews cityTX,71182
TX,Ames city,Ames cityTX,34.7,89.7,33000,,,,,TX,Angleton city,Angleton cityTX,52890
TX,Amherst city,Amherst cityTX,23.8,72.9,44904,,,,,TX,Angus city,Angus cityTX,34792
TX,Amistad CDP,Amistad CDPTX,0,100,(X),,,,,TX,Anna city,Anna cityTX,69663
TX,Anacua CDP,Anacua CDPTX,0,100,-,,,,,TX,Annetta town,Annetta townTX,120179
TX,Anahuac city,Anahuac cityTX,26.1,81.9,44940,,,,,TX,Annetta North town,Annetta North townTX,105714
TX,Anderson city,Anderson cityTX,19.8,83,44219,,,,,TX,Annetta South town,Annetta South townTX,112917
TX,Andrews city,Andrews cityTX,13.5,75.3,71182,,,,,TX,Annona town,Annona townTX,27188
TX,Angleton city,Angleton cityTX,13,79.9,52890,,,,,TX,Anson city,Anson cityTX,43917
TX,Angus city,Angus cityTX,37.4,72.8,34792,,,,,TX,Anthony town,Anthony townTX,33341
TX,Anna city,Anna cityTX,12.6,88,69663,,,,,TX,Anton city,Anton cityTX,41875
TX,Annetta town,Annetta townTX,6.7,95.5,120179,,,,,TX,Appleby city,Appleby cityTX,58750
TX,Annetta North town,Annetta North townTX,4.3,93.9,105714,,,,,TX,Aquilla city,Aquilla cityTX,65625
TX,Annetta South town,Annetta South townTX,6,99.5,112917,,,,,TX,Aransas Pass city,Aransas Pass cityTX,44353
TX,Annona town,Annona townTX,37.9,69.5,27188,,,,,TX,Archer City city,Archer City cityTX,38580
TX,Anson city,Anson cityTX,19.8,77.9,43917,,,,,TX,Arcola city,Arcola cityTX,42279
TX,Anthony town,Anthony townTX,26.6,78.2,33341,,,,,TX,Argyle city,Argyle cityTX,107333
TX,Anton city,Anton cityTX,22.8,67.6,41875,,,,,TX,Arlington city,Arlington cityTX,53326
TX,Appleby city,Appleby cityTX,9.1,93.3,58750,,,,,TX,Arp city,Arp cityTX,53594
TX,Aquilla city,Aquilla cityTX,24.1,71.9,65625,,,,,TX,Arroyo Colorado Estates CDP,Arroyo Colorado Estates CDPTX,(X)
TX,Aransas Pass city,Aransas Pass cityTX,18.2,79,44353,,,,,TX,Arroyo Gardens CDP,Arroyo Gardens CDPTX,(X)
TX,Archer City city,Archer City cityTX,19.7,87,38580,,,,,TX,Asherton city,Asherton cityTX,29868
TX,Arcola city,Arcola cityTX,24.8,63.7,42279,,,,,TX,Aspermont town,Aspermont townTX,34464
TX,Argyle city,Argyle cityTX,2.9,98.1,107333,,,,,TX,Atascocita CDP,Atascocita CDPTX,84982
TX,Arlington city,Arlington cityTX,17.5,84.7,53326,,,,,TX,Athens city,Athens cityTX,37358
TX,Arp city,Arp cityTX,15.2,85.2,53594,,,,,TX,Atlanta city,Atlanta cityTX,35657
TX,Arroyo Colorado Estates CDP,Arroyo Colorado Estates CDPTX,80.2,17.6,(X),,,,,TX,Aubrey city,Aubrey cityTX,60000
TX,Arroyo Gardens CDP,Arroyo Gardens CDPTX,21.8,53.6,(X),,,,,TX,Aurora city,Aurora cityTX,57000
TX,Asherton city,Asherton cityTX,26.6,54.6,29868,,,,,TX,Austin city,Austin cityTX,57689
TX,Aspermont town,Aspermont townTX,25.4,73.9,34464,,,,,TX,Austwell city,Austwell cityTX,41528
TX,Atascocita CDP,Atascocita CDPTX,6.1,92,84982,,,,,TX,Avery town,Avery townTX,24583
TX,Athens city,Athens cityTX,25.5,76.9,37358,,,,,TX,Avinger town,Avinger townTX,33125
TX,Atlanta city,Atlanta cityTX,21.3,85.2,35657,,,,,TX,Azle city,Azle cityTX,55830
TX,Aubrey city,Aubrey cityTX,5.1,86.9,60000,,,,,TX,Bacliff CDP,Bacliff CDPTX,37182
TX,Aurora city,Aurora cityTX,18,85.4,57000,,,,,TX,Bailey city,Bailey cityTX,46250
TX,Austin city,Austin cityTX,18,87.5,57689,,,,,TX,Bailey's Prairie village,Bailey's Prairie villageTX,102917
TX,Austwell city,Austwell cityTX,2.4,82.9,41528,,,,,TX,Baird city,Baird cityTX,40991
TX,Avery town,Avery townTX,24.8,84.8,24583,,,,,TX,Balch Springs city,Balch Springs cityTX,40230
TX,Avinger town,Avinger townTX,15.3,83,33125,,,,,TX,Balcones Heights city,Balcones Heights cityTX,30208
TX,Azle city,Azle cityTX,9.1,85.9,55830,,,,,TX,Ballinger city,Ballinger cityTX,34817
TX,Bacliff CDP,Bacliff CDPTX,30.1,73.4,37182,,,,,TX,Balmorhea city,Balmorhea cityTX,38750
TX,Bailey city,Bailey cityTX,16.7,74.1,46250,,,,,TX,B and E CDP,B and E CDPTX,26042
TX,Bailey's Prairie village,Bailey's Prairie villageTX,9.1,84.7,102917,,,,,TX,Bandera city,Bandera cityTX,41992
TX,Baird city,Baird cityTX,18.2,86.2,40991,,,,,TX,Bangs city,Bangs cityTX,37361
TX,Balch Springs city,Balch Springs cityTX,25,64,40230,,,,,TX,Banquete CDP,Banquete CDPTX,36790
TX,Balcones Heights city,Balcones Heights cityTX,23.3,82.2,30208,,,,,TX,Bardwell city,Bardwell cityTX,32167
TX,Ballinger city,Ballinger cityTX,31,78.7,34817,,,,,TX,Barrera CDP,Barrera CDPTX,-
TX,Balmorhea city,Balmorhea cityTX,11.1,70.2,38750,,,,,TX,Barrett CDP,Barrett CDPTX,31442
TX,B and E CDP,B and E CDPTX,50.3,26,26042,,,,,TX,Barry city,Barry cityTX,36250
TX,Bandera city,Bandera cityTX,10.6,85,41992,,,,,TX,Barstow city,Barstow cityTX,27708
TX,Bangs city,Bangs cityTX,13.9,79.3,37361,,,,,TX,Bartlett city,Bartlett cityTX,36065
TX,Banquete CDP,Banquete CDPTX,17.1,71.1,36790,,,,,TX,Barton Creek CDP,Barton Creek CDPTX,168063
TX,Bardwell city,Bardwell cityTX,19.6,52.4,32167,,,,,TX,Bartonville town,Bartonville townTX,113393
TX,Barrera CDP,Barrera CDPTX,-,-,-,,,,,TX,Bastrop city,Bastrop cityTX,48071
TX,Barrett CDP,Barrett CDPTX,32,82.2,31442,,,,,TX,Batesville CDP,Batesville CDPTX,10307
TX,Barry city,Barry cityTX,14.2,87.5,36250,,,,,TX,Bay City city,Bay City cityTX,39111
TX,Barstow city,Barstow cityTX,30.1,55.4,27708,,,,,TX,Bayou Vista city,Bayou Vista cityTX,76071
TX,Bartlett city,Bartlett cityTX,15.3,67.5,36065,,,,,TX,Bayside town,Bayside townTX,59167
TX,Barton Creek CDP,Barton Creek CDPTX,2.9,98.7,168063,,,,,TX,Baytown city,Baytown cityTX,48103
TX,Bartonville town,Bartonville townTX,2.5,92.4,113393,,,,,TX,Bayview town,Bayview townTX,76458
TX,Bastrop city,Bastrop cityTX,10.2,83.1,48071,,,,,TX,Beach City city,Beach City cityTX,68950
TX,Batesville CDP,Batesville CDPTX,47.3,39.9,10307,,,,,TX,Bear Creek village,Bear Creek villageTX,101875
TX,Bay City city,Bay City cityTX,25.8,76.7,39111,,,,,TX,Beasley city,Beasley cityTX,46307
TX,Bayou Vista city,Bayou Vista cityTX,5.5,94.5,76071,,,,,TX,Beaumont city,Beaumont cityTX,40992
TX,Bayside town,Bayside townTX,24.7,87.1,59167,,,,,TX,Beckville city,Beckville cityTX,37917
TX,Baytown city,Baytown cityTX,19.6,75.5,48103,,,,,TX,Bedford city,Bedford cityTX,61961
TX,Bayview town,Bayview townTX,8.5,92.1,76458,,,,,TX,Bedias city,Bedias cityTX,35750
TX,Beach City city,Beach City cityTX,9.2,89.2,68950,,,,,TX,Bee Cave city,Bee Cave cityTX,121708
TX,Bear Creek village,Bear Creek villageTX,2.5,96.6,101875,,,,,TX,Beeville city,Beeville cityTX,38750
TX,Beasley city,Beasley cityTX,18,78.2,46307,,,,,TX,Bellaire city,Bellaire cityTX,175369
TX,Beaumont city,Beaumont cityTX,21.8,84.9,40992,,,,,TX,Bellevue city,Bellevue cityTX,35833
TX,Beckville city,Beckville cityTX,26.3,77.1,37917,,,,,TX,Bellmead city,Bellmead cityTX,34358
TX,Bedford city,Bedford cityTX,6.8,94.8,61961,,,,,TX,Bells town,Bells townTX,55260
TX,Bedias city,Bedias cityTX,21.3,83.9,35750,,,,,TX,Bellville city,Bellville cityTX,50577
TX,Bee Cave city,Bee Cave cityTX,2.7,98.9,121708,,,,,TX,Belton city,Belton cityTX,51033
TX,Beeville city,Beeville cityTX,24.5,76,38750,,,,,TX,Benavides city,Benavides cityTX,32038
TX,Bellaire city,Bellaire cityTX,1.5,97.8,175369,,,,,TX,Benbrook city,Benbrook cityTX,64786
TX,Bellevue city,Bellevue cityTX,10.7,81,35833,,,,,TX,Benjamin city,Benjamin cityTX,35000
TX,Bellmead city,Bellmead cityTX,29.7,64.7,34358,,,,,TX,Benjamin Perez CDP,Benjamin Perez CDPTX,-
TX,Bells town,Bells townTX,13.9,86.2,55260,,,,,TX,Berryville town,Berryville townTX,40272
TX,Bellville city,Bellville cityTX,6.7,87.6,50577,,,,,TX,Bertram city,Bertram cityTX,49079
TX,Belton city,Belton cityTX,16.1,81.5,51033,,,,,TX,Beverly Hills city,Beverly Hills cityTX,34034
TX,Benavides city,Benavides cityTX,22.3,75.7,32038,,,,,TX,Bevil Oaks city,Bevil Oaks cityTX,76250
TX,Benbrook city,Benbrook cityTX,7,93.7,64786,,,,,TX,Bigfoot CDP,Bigfoot CDPTX,(X)
TX,Benjamin city,Benjamin cityTX,27.6,84,35000,,,,,TX,Big Lake city,Big Lake cityTX,53375
TX,Benjamin Perez CDP,Benjamin Perez CDPTX,-,-,-,,,,,TX,Big Sandy town,Big Sandy townTX,35625
TX,Berryville town,Berryville townTX,21.1,83.8,40272,,,,,TX,Big Spring city,Big Spring cityTX,45650
TX,Bertram city,Bertram cityTX,23.9,89.1,49079,,,,,TX,Big Thicket Lake Estates CDP,Big Thicket Lake Estates CDPTX,34205
TX,Beverly Hills city,Beverly Hills cityTX,30.4,69.9,34034,,,,,TX,Big Wells city,Big Wells cityTX,24583
TX,Bevil Oaks city,Bevil Oaks cityTX,3.2,96.7,76250,,,,,TX,Bishop city,Bishop cityTX,48343
TX,Bigfoot CDP,Bigfoot CDPTX,30.3,75.6,(X),,,,,TX,Bishop Hills town,Bishop Hills townTX,98750
TX,Big Lake city,Big Lake cityTX,16.6,68.6,53375,,,,,TX,Bixby CDP,Bixby CDPTX,32578
TX,Big Sandy town,Big Sandy townTX,18.1,74.3,35625,,,,,TX,Blackwell city,Blackwell cityTX,48571
TX,Big Spring city,Big Spring cityTX,17.5,76.5,45650,,,,,TX,Blanco city,Blanco cityTX,41272
TX,Big Thicket Lake Estates CDP,Big Thicket Lake Estates CDPTX,34.9,68.3,34205,,,,,TX,Blanket town,Blanket townTX,38750
TX,Big Wells city,Big Wells cityTX,20.1,54.5,24583,,,,,TX,Blessing CDP,Blessing CDPTX,21360
TX,Bishop city,Bishop cityTX,16.6,74.2,48343,,,,,TX,Bloomburg town,Bloomburg townTX,32885
TX,Bishop Hills town,Bishop Hills townTX,2.8,92.9,98750,,,,,TX,Blooming Grove town,Blooming Grove townTX,42500
